CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0164,0.9999994990303347
C0001,C0127,0.9999980128582096
C0001,C0184,0.9999945535029922
C0002,C0031,0.9999975753411989
C0002,C0197,0.999995303479012
C0002,C0166,0.9999907110058006
C0003,C0160,0.9999990501953097
C0003,C0190,0.9999978447367519
C0003,C0106,0.9999929246163431
C0004,C0109,0.9995206560178361
C0004,C0136,0.9994815948467616
C0004,C0041,0.9993756063666132
C0005,C0159,0.999997473571035
C0005,C0146,0.9999954043317109
C0005,C0007,0.9999949103943028
C0006,C0079,0.999999403565313
C0006,C0168,0.9999650442922436
C0006,C0126,0.999921847269312
C0007,C0146,0.9999998594297274
C0007,C0092,0.9999986553454548
C0007,C0089,0.9999983227376269
C0008,C0124,0.9999769627813653
C0008,C0090,0.999968304426297
C0008,C0084,0.9999361187675729
C0009,C0177,0.9999325544624587
C0009,C0130,0.9998036888759837
C0009,C0125,0.999760762435753
C0010,C0142,0.9753089076568281
C0010,C0132,0.9051146197562364
C0010,C0027,0.8676393065648377
C0011,C0064,0.9999940329593967
C0011,C0100,0.9999900865319702
C0011,C0022,0.9999756286033377
C0012,C0182,0.999991466116999
C0012,C0122,0.9999888354702074
C0012,C0163,0.999982245684428
C0013,C0188,0.9999949145197559
C0013,C0067,0.9999847353852069
C0013,C0021,0.9999403987665906
C0014,C0060,0.9999957057283819
C0014,C0097,0.9999906656509737
C0014,C0198,0.9999843924250996
C0015,C0123,0.9999300804928968
C0015,C0058,0.9999069716376497
C0015,C0033,0.9998053171207292
C0016,C0040,0.9999985574037622
C0016,C0154,0.999998164522544
C0016,C0158,0.9999934073697236
C0017,C0084,0.9999928205454192
C0017,C0175,0.9999581845873736
C0017,C0090,0.9999122237760374
C0018,C0028,0.9999751834471611
C0018,C0101,0.9999726627608613
C0018,C0102,0.999945020741992
C0019,C0121,0.9997853490215106
C0019,C0077,0.9994634203294959
C0019,C0172,0.9992174708848552
C0020,C0130,0.9999662691531161
C0020,C0191,0.9999602337116118
C0020,C0198,0.9999215076946459
